Р О З К Л А Д ;Р О З К Л А Д ;Р О З К Л А Д ;Р О З К Л А Д ;Р О З К Л А Д ;Р О З К Л А Д ;Р О З К Л А Д ;;;;;;;;
П'ЯТНИЦЯ            16.09;1;С   о   ц   і   о   л   о   г   і   я                                      доц.Долголенко І.А.;С   о   ц   і   о   л   о   г   і   я                                      доц.Долголенко І.А.;С   о   ц   і   о   л   о   г   і   я                                      доц.Долголенко І.А.;С   о   ц   і   о   л   о   г   і   я                                      доц.Долголенко І.А.;С   о   ц   і   о   л   о   г   і   я                                      доц.Долголенко І.А.;С   о   ц   і   о   л   о   г   і   я                                      доц.Долголенко І.А.;;;;;;;
П'ЯТНИЦЯ            16.09;2;Технологія виробництва та обробка конструкційних матеріалів                                       доц. Федорова О.В.;Технологія виробництва та обробка конструкційних матеріалів                                       доц. Федорова О.В.;;;Економ. підпр. ІІ               викл.Гилка У.Л.;Маркетинг в туризмі викл. Шевченко-Перепьолкіна Р.І.;;;;;;;
П'ЯТНИЦЯ            16.09;3;Ергономіка доц.Букатова О.М.;Ергономіка доц.Букатова О.М.;;;;;;;;;;;
П'ЯТНИЦЯ            16.09;4;Фізична культура та основи здоров`я людини          викл.Бочарова Т.В., викл.Долженко І.В.;Фізична культура та основи здоров`я людини          викл.Бочарова Т.В., викл.Долженко І.В.;Фізична культура та основи здоров`я людини          викл.Бочарова Т.В., викл.Долженко І.В.;Фізична культура та основи здоров`я людини          викл.Бочарова Т.В., викл.Долженко І.В.;Фізична культура та основи здоров`я людини          викл.Бочарова Т.В., викл.Долженко І.В.;Фізична культура та основи здоров`я людини          викл.Бочарова Т.В., викл.Долженко І.В.;;;;;;;
П'ЯТНИЦЯ            16.09;5;;;;;;;;;;;;;
Декан факультету _____________доц. Мізюк В.А.;Декан факультету _____________доц. Мізюк В.А.;Декан факультету _____________доц. Мізюк В.А.;Декан факультету _____________доц. Мізюк В.А.;Декан факультету _____________доц. Мізюк В.А.;Декан факультету _____________доц. Мізюк В.А.;Декан факультету _____________доц. Мізюк В.А.;Декан факультету _____________доц. Мізюк В.А.;;;;;;;
Р О З К Л А Д ;Р О З К Л А Д ;Р О З К Л А Д ;Р О З К Л А Д ;Р О З К Л А Д ;Р О З К Л А Д ;;;;;;;;;
занять факультету управління, адміністрування та інформаційної діяльності;занять факультету управління, адміністрування та інформаційної діяльності;занять факультету управління, адміністрування та інформаційної діяльності;занять факультету управління, адміністрування та інформаційної діяльності;занять факультету управління, адміністрування та інформаційної діяльності;занять факультету управління, адміністрування та інформаційної діяльності;;;;;;;;;
Дні;Пари;41 група;42 група;43 група;44 група;;;;;;;;;
Дні;Пари;Тех. (інформ.);Інформатика ;Економіка підприємства;Туризм;;;;;;;;;
ПОНЕДІЛОК    12.09;1;Д І С                                            викл.Дмитрієва М.В.;;Фінансова діяльність суб`єктів підприємництва                     проф.Сосновський А.В.;Турлогістика                                  викл. Шевченко-Перепьолкіна Р.І.;;;;;;;;;
ПОНЕДІЛОК    12.09;2;МТЗТ підготовки школярів                   викл.Трішин В.В.;Метод. навч. математики                        викл. Щоголева Т.М.;Капітал підприємства  ст.викл.Яковенко О.І.;Рекреаційна географія                              доц. Тодоров В.І.;;;;;;;;;
ПОНЕДІЛОК    12.09;3;;П Р П П                                            викл.Дмитрієва М.В.;Економіка і організація інноваційної діяльності доц.Сорока Л.М.;Менеджмент в туризмі  ст.викл.Яковенко О.І.;;;;;;;;;
ПОНЕДІЛОК    12.09;4;;Математичне програмування          викл. Воробйов Я.В.;;Спеціалізований туризм                                доц. Тодоров В.І.;;;;;;;;;
ПОНЕДІЛОК    12.09;5;;;;;;;;;;;;;
ВІВТОРОК   13.09;1;Р е л і г і є з н а в с т в о                 доц. Запорожченко О.В.;Р е л і г і є з н а в с т в о                 доц. Запорожченко О.В.;;Рекреаційна географія                              доц. Тодоров В.І.;;;;;;;;;
ВІВТОРОК   13.09;2;МТЗТП                                         викл. Тришин В.В.;П Р П П                                           викл.Дмитрієва М.В.;Організація виробництва викл.Степанова Н.О.;Економіка підприємства              викл.Метіль Т.К.;;;;;;;;;
ВІВТОРОК   13.09;3;Теорія ймовірності та мат.статистика  (+3к)            доц.Івлієва О.М.;Основи мікроелектроніки викл.Коваленко О.В.;Англійська мова                                     викл.Шикиринська О.Б.;Організація туризму                       викл.Міщук Ж.В.;;;;;;;;;
ВІВТОРОК   13.09;4;Д І С                                            викл.Дмитрієва М.В.;ІКТ                                                   викл.Дущенко О.С.;Стратегія підприємства            викл.Метіль Т.К.;Туризм в країнах ЧСБ                    доц. Тодоров В.І.;;;;;;;;;
ВІВТОРОК   13.09;5;;;;Спеціалізований туризм                                доц. Тодоров В.І.;;;;;;;;;
